Title,PublishedDate,Issues,Signatures,,
Formally Recognize The Ku Klux Klan As A Terrorist Organization,"July 10, 2016","['Civil Rights & Equality', 'Government & Regulatory Reform', 'Homeland Security & Defense']",116108,,
Rescind the decision to deploy THAAD antimissile system in South Korea.,"July 15, 2016","['Civil Rights & Equality', 'Foreign Policy', 'Government & Regulatory Reform']",106831,,
"August 15th is NOT Independence Day For Sikhs. SUPPORT the Liberation of Indian Occupied Punjab to Create ""KHALISTAN"".","July 10, 2016","['Government & Regulatory Reform', 'Gun Violence']",104048,,
No Respite for Highly-skilled Americans-in-Waiting. Need Portable Work Authorization & Recapture 500K Green Cards,"July 11, 2016","['Foreign Policy', 'Homeland Security & Defense']",102586,,
I would like our government to stop providing a safe haven to Fethullah Gulen  and I want him delivered to Turkey,"July 17, 2016","['Civil Rights & Equality', 'Gun Violence', 'Homeland Security & Defense']",101003,,
"CHARGE Donald J. Trump, 18 U.S. Code § 2381 - TREASON","July 27, 2016",['Foreign Policy'],30424,,
Stop construction of the Dakota Access Pipeline which endangers the water supply to Native American reservations.,"August 15, 2016",['Foreign Policy'],20979,,
"Human Rights Violation by Hong Kong Government, request US Government impose int'l sanctions on HK and CHINA Government","August 02, 2016","['Civil Rights & Equality', 'Homeland Security & Defense', 'Immigration']",20247,,
STOP federal fumigation of 3.5 American citizens in Puerto Rico with pesticide Naled as effort to combat Zika virus.,"July 21, 2016","['Civil Rights & Equality', 'Foreign Policy', 'Immigration']",11534,,
Disavow support for the Clinton political dynasty. Disqualify and remove Hillary Clinton from 2016 Presidential Ballot,"August 02, 2016","['Foreign Policy', 'Homeland Security & Defense']",10958,,
Remove Gunsmithing from ITAR.,"August 06, 2016","['Civil Rights & Equality', 'Energy & Environment', 'Rural Policy']",7525,,
Free Artem Vaulin,"July 21, 2016","['Foreign Policy', 'Homeland Security & Defense', 'Immigration']",6929,,
Grant Immediate Asylum to Gulen Followers in the U.S. or entering the U.S. Fleeing Turkey,"July 24, 2016","['Civil Rights & Equality', 'Energy & Environment', 'Health Care']",5243,,
